Note ID	Korean Word	Word Meaning	Word Audio	Korean Expression	Expression Meaning	Expression Audio	Picture	Hint	Sort
dfc3d1f2-2cb3-11ed-a970-3b66871c921d				<div>식사 <b>전에</b> 이 약을 드세요.&nbsp;</div>		"<img src=""paste-15098df3f9c64792d292a9d6a26d5878bb092e17.jpg"">[sound:5-1-79-2.mp3]"			5-1-79-2	Beginner
dfc3f9a2-2cb3-11ed-a970-3b66871c921d				<div>수영하<b>기 전에</b> 준비운동을 해요.</div>		"<img src=""paste-59a79262613bf42a587e02c124d988211e39210f.jpg"">[sound:5-1-79-3.mp3]"			5-1-79-3	Beginner
dfc428a0-2cb3-11ed-a970-3b66871c921d				<div>한 달 <b>후에</b> 아기가 태어나요.&nbsp;</div>		"<img src=""paste-6a653c444042177858c5cb34b8386046c4f95593.jpg"">[sound:5-2-81-1.mp3]"			5-2-81-1	Beginner Retired
dfc44f7e-2cb3-11ed-a970-3b66871c921d				<div>밥을 먹<b>은</b> <b>후에</b> 이를 닦아요.&nbsp;</div>		"<img src=""paste-dc6ea3ea3e1b143b9ebaf5d19b3dd0573aaa81b7.jpg"">[sound:5-2-81-2.mp3]"			5-2-81-2	Beginner Retired
dfc47738-2cb3-11ed-a970-3b66871c921d				<div>대학교 졸업&nbsp;<b>후에&nbsp;</b>취직을 했어요.</div><div><br></div><div>대학교를 졸업<b>한 후에</b> 취직을 했어요</div><div></div>		"<img src=""paste-eab3497a1b903a69012dd599f3088f33b451d835.jpg"">[sound:5-2-81-3.mp3]"			5-2-81-3	Beginner
dfc49dd0-2cb3-11ed-a970-3b66871c921d				<div>일을 하<b>고 나서</b> 쉽니다.&nbsp;</div>		"<img src=""paste-f5a8860290c3c4320445675c9aa5a4eed80edb81.jpg"">[sound:5-3-83-1.mp3]"			5-3-83-1	Beginner Retired
dfc4c85a-2cb3-11ed-a970-3b66871c921d				<div>텔레비전을 보<b>고 나서</b> 잡니다.&nbsp;</div>		"<img src=""paste-8b1988e26e0a836f5a5fd9fe2314c534f753e2a9.jpg"">[sound:5-3-83-2.mp3]"			5-3-83-2	Beginner Retired
dfc4ef42-2cb3-11ed-a970-3b66871c921d				<div>아침을 먹<b>고 나서</b> 신문을 봅니다.&nbsp;</div>		"<img src=""paste-4dee59e690a3c1cb6651e2f35f67d1f6b7add60d.jpg"">[sound:5-3-83-3.mp3]"			5-3-83-3	Beginner
dfc515bc-2cb3-11ed-a970-3b66871c921d				<div>바나나를 <b>까서</b> 먹었어요.&nbsp;</div>		"<img src=""paste-ce7cda1aceb1606e69a1d36ef018d00f63657e13.jpg"">[sound:5-4-85-1.mp3]"			5-4-85-1	Beginner Retired
dfc53c18-2cb3-11ed-a970-3b66871c921d				<div>네 시간 동안 공원에 <b>앉아서</b> 이야기했어요.&nbsp;</div>		"<img src=""paste-83b94506c4020e7555d099141de0eae063e8718e.jpg"">[sound:5-4-85-2.mp3]"			5-4-85-2	Beginner
dfc56602-2cb3-11ed-a970-3b66871c921d				<div>여자 친구에게 목걸이를 <b>사</b>(<b>서</b>) 주었어요</div>		"<img src=""paste-07f32d4761f767daa64d7b4fd0955cc013211191.jpg"">[sound:5-4-85-3.mp3]"			5-4-85-3	Beginner
dfc591ae-2cb3-11ed-a970-3b66871c921d				<div>방학 <b>때</b> 아르바이트를 해요.&nbsp;</div>		"<img src=""paste-5219b0e704543fdc259262f542c971aa1de7e2e6.jpg"">[sound:5-5-87-1.mp3]"			5-5-87-1	Beginner Retired
dfc5b850-2cb3-11ed-a970-3b66871c921d				<div>4살 <b>때</b> 사진이에요.&nbsp;</div>		"<img src=""paste-552f4f3e3db553dfbabe2b2ead2dac6eebe9ffe8.jpg"">[sound:5-5-87-2.mp3]"			5-5-87-2	Beginner Retired
dfc5deb6-2cb3-11ed-a970-3b66871c921d				<div>시험 <b>볼 때</b> 옆 사람의 시험지를 보지 마세요.&nbsp;</div>		"<img src=""paste-cb7234aa38620413f161ad019bc7c7ad7b11cfc7.jpg"">[sound:5-5-87-3.mp3]"			5-5-87-3	Beginner
dfc60526-2cb3-11ed-a970-3b66871c921d				<div>밥을 <b>먹으면서</b> TV를 봅니다.&nbsp;</div>		"<img src=""paste-b45f68138c80237debdd5526133e2dafc4a0e9a1.jpg"">[sound:5-6-89-1.mp3]"			5-6-89-1	Beginner
dfc62c4a-2cb3-11ed-a970-3b66871c921d				<div>우리 언니는 피아노를 <b>치면서</b> 노래를 해요.&nbsp;</div>		"<img src=""paste-5e4ecaac02734b131ad6c5f27703243169aabce1.jpg"">[sound:5-6-89-2.mp3]"			5-6-89-2	Beginner
dfc653e6-2cb3-11ed-a970-3b66871c921d				<div><b>운전하면서</b> 전화하지 마세요. 위험해요.&nbsp;</div>		"<img src=""paste-408547d74bd3966348b695c9818dc879a7b45f4e.jpg"">[sound:5-6-89-3.mp3]"			5-6-89-3	Beginner Retired
dfc67b32-2cb3-11ed-a970-3b66871c921d				<div>지하철 <b>공사 중</b>입나다.&nbsp;</div><div><br></div><div>지하철 <b>공사하는 중</b>입나다</div>		"<img src=""paste-8f9e99770e27f055c25113b91def7d4a2c24e278.jpg"">[sound:5-7-91-1.mp3]"			5-7-91-1	Beginner Retired
dfc6a602-2cb3-11ed-a970-3b66871c921d				<div>사장님은 <b>회의 중</b>입니다.</div><div><br></div><div>사장님은 <b>회의하는 중</b>입니다.</div>		"<img src=""paste-a99983b01f3dbb7bc03e309a7370ddd35e934c7f.jpg"">[sound:5-7-91-2.mp3]"			5-7-91-2	Beginner Retired
dfc6ce20-2cb3-11ed-a970-3b66871c921d				<div>지금 집에 <b>가는 중</b>이에요.&nbsp;</div>		"<img src=""paste-0ddecf0178ba6de613464782e75a68b0d3117cd2.jpg"">[sound:5-7-91-3.mp3]"			5-7-91-3	Beginner Retired
dfc6f4c2-2cb3-11ed-a970-3b66871c921d				<div>이사할 거예요. 그래서 집을 <b>찾는 중</b>이에요.&nbsp;</div>		"<img src=""paste-5355288e20ef2ef7e02152aa859cc09869f54f0d.jpg"">[sound:5-7-91-4.mp3]"			5-7-91-4	Beginner
dfc71b0a-2cb3-11ed-a970-3b66871c921d				<div>너무 피곤해서 집에 <b>오자마자</b>&nbsp;잤어요.&nbsp;</div>		"<img src=""paste-b2a789b97c48e46d8cc62b58b993f03808cca46f.jpg"">[sound:5-8-93-1.mp3]"			5-8-93-1	Beginner
dfc74148-2cb3-11ed-a970-3b66871c921d				<div>불이 <b>나자마자</b> 소방차가 왔어요</div>		"<img src=""paste-3da5634e4fb1c703fa5dd56b2aa9d713276c5b5f.jpg"">[sound:5-8-93-2.mp3]"			5-8-93-2	Beginner
dfc76b14-2cb3-11ed-a970-3b66871c921d				<div>수업이 <b>끝나자마자</b> 학생들은 교실을 나갔어요.&nbsp;</div>		"<img src=""paste-40e803fde340fd0df6f6bbf43dfe6337af9e1a49.jpg"">[sound:5-8-93-3.mp3]"			5-8-93-3	Beginner
dfc79224-2cb3-11ed-a970-3b66871c921d				<div>어제 4시간 <b>동안</b> 공부했어요.&nbsp;</div>		"<img src=""paste-9ca8271559cfffea56df18d906604970df6eb523.jpg"">[sound:5-9-95-1.mp3]"			5-9-95-1	Beginner
dfc7ba06-2cb3-11ed-a970-3b66871c921d				<div>곰은 겨울 <b>동안에</b> 겨울 잠을 자요.&nbsp;</div>		"<img src=""paste-75adfcc7a118db976cb96fcdf252f7f1faa39d3c.jpg"">[sound:5-9-95-2.mp3]"			5-9-95-2	Beginner
dfc7e2ce-2cb3-11ed-a970-3b66871c921d				<div>친구들이 점심을 <b>먹는 동안</b> 나는 숙제를 했어요.&nbsp;</div>		"<img src=""paste-1fc15c84dfc8680c102e46cfade18c308c08a162.jpg"">[sound:5-9-95-3.mp3]"			5-9-95-3	Beginner
dfc81014-2cb3-11ed-a970-3b66871c921d				<div>저는 한국에 <b>온 지</b> 2년이 되었습니다.&nbsp;</div>		"<img src=""paste-e88dc9b5f4e18164540d8b9923e9c127c8a6aab7.jpg"">[sound:5-10-97-1.mp3]"			5-10-97-1	Beginner
dfc83918-2cb3-11ed-a970-3b66871c921d				<div>담배 <b>끊은 지</b> 한 달 되었어요.&nbsp;</div>		"<img src=""paste-cad60f7bdaa67e543b4570aee472ca4b81b05b06.jpg"">[sound:5-10-97-2.mp3]"			5-10-97-2	Beginner
dfc8655a-2cb3-11ed-a970-3b66871c921d				<div>컴퓨터 게임을 <b>한 지</b> 5 시간이 넘었어요.&nbsp;</div>		"<img src=""paste-1060d7c7717c27861945240ab165812fc064fe3b.jpg"">[sound:5-10-97-3.mp3]"			5-10-97-3	Beginner Retired
dfc89656-2cb3-11ed-a970-3b66871c921d				<div>이 영화를 <b>볼 수 있어요</b>.</div><div><br></div><div>저 영화를 <b>볼 수 없어요</b>.</div><div></div>		"<img src=""paste-47dfd6e9f161eb3537a82cea54839b3436e390ad.jpg"">[sound:6-1-99-1.mp3]"			6-1-99-1	Beginner Retired
dfc8c626-2cb3-11ed-a970-3b66871c921d				<div>한국말을 <b>할 수 있어요</b>.</div><div><br></div><div>아프리카 말을 <b>할 수 없어요</b>.&nbsp;</div>		"<img src=""paste-ac3d0984efb7a3d42b62f93ab06c61b6bb953dcb.jpg"">[sound:6-1-99-2.mp3]"			6-1-99-2	Beginner
dfc8f56a-2cb3-11ed-a970-3b66871c921d				<div>한자를 읽<b>을 수 있어요</b>.</div><div><br></div><div>한자를 읽<b>을 수 없어요</b>.&nbsp;</div>		"<img src=""paste-1e4579d2460490ad93db684b97f42c58d8e4d6d1.jpg"">[sound:6-1-99-3.mp3]"			6-1-99-3	Beginner Retired
dfc91f0e-2cb3-11ed-a970-3b66871c921d				<div>딸기잼을 <b>만들 줄 알아요</b>.&nbsp;</div>		"<img src=""paste-014cf9c3e2dcba16d8e5797508987f42aca40ae1.jpg"">[sound:6-2-101-1.mp3]"			6-2-101-1	Beginner
dfc94d4e-2cb3-11ed-a970-3b66871c921d				<div>휴대전화로 사진을 <b>보낼 줄 알아요</b>.&nbsp;</div>		"<img src=""paste-9d55387a74e4950983a5c1bb1ca64f13fe15d516.jpg"">[sound:6-2-101-2.mp3]"			6-2-101-2	Beginner
dfc97436-2cb3-11ed-a970-3b66871c921d				<div>된장찌개를 맛있게 <b>끓일 줄 알아요</b>.&nbsp;</div>		"<img src=""paste-9580e0f8aef8570df44ae0813007bebe08e038a7.jpg"">[sound:6-2-101-3.mp3]"			6-2-101-3	Beginner
dfc99a9c-2cb3-11ed-a970-3b66871c921d				<div>여기 <b>앉으세요</b>.</div><div></div>		"<img src=""paste-87de83ff253fda4b5e23a8d93261ecce8206ffdd.jpg"">[sound:7-1-103-1.mp3]"			7-1-103-1	Beginner Retired
dfc9c0f8-2cb3-11ed-a970-3b66871c921d				<div>책 15쪽을 <b>보세요</b>.&nbsp;</div>		"<img src=""paste-41952418b45ac7657a830b85e0e544a28d1c11ed.jpg"">[sound:7-1-103-2.mp3]"			7-1-103-2	Beginner
dfc9edf8-2cb3-11ed-a970-3b66871c921d				<div>이 길로 쭉 <b>가세요</b>.&nbsp;</div>		"<img src=""paste-3d72998602b88b834daa275f98359bd4de955b8b.jpg"">[sound:7-1-103-3.mp3]"			7-1-103-3	Beginner
dfca167a-2cb3-11ed-a970-3b66871c921d				<div>술을 마시<b>지 마세요</b>.&nbsp;</div>		"<img src=""paste-c3ee6b47d85cbb5d53291a0f9397ca2a9438939b.jpg"">[sound:7-2-105-1.mp3]"			7-2-105-1	Beginner Retired
dfca3e5c-2cb3-11ed-a970-3b66871c921d				<div>전화하<b>지 마세요</b>.&nbsp;</div>		"<img src=""paste-be13a92a88e174165c57ce41f2b6c4fa6920c906.jpg"">[sound:7-2-105-2.mp3]"			7-2-105-2	Beginner Retired
dfca6742-2cb3-11ed-a970-3b66871c921d				<div>수업 시간에 자<b>지 마세요</b>.&nbsp;</div>		"<img src=""paste-400975b473137aacfab70b120fd6f2c465aa6b2a.jpg"">[sound:7-2-105-3.mp3]"			7-2-105-3	Beginner
dfca9438-2cb3-11ed-a970-3b66871c921d				<div>내일 시험이 있어요. 그래서 <b>공부해야 돼요</b>.&nbsp;</div>		"<img src=""paste-16035dac5657ec2561989ffbdac06d4174ce4b59.jpg"">[sound:7-3-107-1.mp3]"			7-3-107-1	Beginner
dfcabe68-2cb3-11ed-a970-3b66871c921d				<div>여자 친구 생일이라서 선물을 <b>사야 돼요</b>.&nbsp;</div>		"<img src=""paste-d838562f889fbe34de7c1c1b5d59c92fc04ff279.jpg"">[sound:7-3-107-2.mp3]"			7-3-107-2	Beginner
dfcae5f0-2cb3-11ed-a970-3b66871c921d				<div>먹기 전에 돈을 <b>내야 해요</b>.&nbsp;</div>		"<img src=""paste-38c721b5533bd10a702ce02fc1879a8a8472bd99.jpg"">[sound:7-3-107-3.mp3]"			7-3-107-3	Beginner Retired
dfcb0d78-2cb3-11ed-a970-3b66871c921d				<div>사진을 <b>찍어도 돼요</b>?&nbsp;</div>		"<img src=""paste-414c1f69f5aab5f868f2bf1f8bebdd3674dc2613.jpg"">[sound:7-4-109-1.mp3]"			7-4-109-1	Beginner
dfcb350a-2cb3-11ed-a970-3b66871c921d				<div>여기 <b>앉아도 돼요</b>?&nbsp;</div>		"<img src=""paste-8e75899bc76df819ba13938cb14f4280dbc120e3.jpg"">[sound:7-4-109-2.mp3]"			7-4-109-2	Beginner Retired
dfcb5c7e-2cb3-11ed-a970-3b66871c921d				<div>펜을 <b>써도 돼요</b>?&nbsp;</div>		"<img src=""paste-bcff16e24c54308494a88566ffae62508d2a846e.jpg"">[sound:7-4-109-3.mp3]"			7-4-109-3	Beginner
dfcb844c-2cb3-11ed-a970-3b66871c921d				<div>실내에서 담배를 <b>피우면 안 돼요</b>.&nbsp;</div>		"<img src=""paste-f7e8d7c9c7e6c6ab2f1ecd2e3d0577ae43952464.jpg"">[sound:7-5-111-1.mp3]"			7-5-111-1	Beginner Retired
dfcbb1b0-2cb3-11ed-a970-3b66871c921d				<div>운전 중에 <b>전화하면 안 돼요</b>.&nbsp;</div>		"<img src=""paste-7d7a114d8182b35d16f4a04289b323333d318dd7.jpg"">[sound:7-5-111-2.mp3]"			7-5-111-2	Beginner
dfcbdac8-2cb3-11ed-a970-3b66871c921d				<div>지금 길을 <b>건너면 안 돼요</b>.&nbsp;</div>		"<img src=""paste-adb8be8d828cbc6273d6d074053848b42184c749.jpg"">[sound:7-5-111-3.mp3]"			7-5-111-3	Beginner
dfcc0156-2cb3-11ed-a970-3b66871c921d				<div>유치원생은 버스 요금을 내<b>지 않아도 돼요</b>.&nbsp;</div>		"<img src=""paste-01bdd2549032af2b7ba585cd5cdd12aee9b8da48.jpg"">[sound:7-6-113-1.mp3]"			7-6-113-1	Beginner
dfcc2dac-2cb3-11ed-a970-3b66871c921d				<div>평일이니까 영화표를 미리 사<b>지 않아도 돼요</b>.&nbsp;</div>		"<img src=""paste-ab7fb0c973e9c53c4bf41f64f1477f051d22d7d1.jpg"">[sound:7-6-113-2.mp3]"			7-6-113-2	Beginner
dfcc570a-2cb3-11ed-a970-3b66871c921d				<div>금요일에는 정장을 입<b>지 않아도 돼요</b>.&nbsp;</div>		"<img src=""paste-a6490dfe7f7b148fca3b60430a0896c1365babe2.jpg"">[sound:7-6-113-3.mp3]"			7-6-113-3	Beginner Retired
dfcc8202-2cb3-11ed-a970-3b66871c921d				<div>한국말을 잘 못 해요. 한국말을 잘하<b>고 싶어요</b>.&nbsp;</div>		"<img src=""paste-73043ddb0435fe3247ea89da38082a0cd046b6d7.jpg"">[sound:8-1-115-1.mp3]"			8-1-115-1	Beginner
dfccaa5c-2cb3-11ed-a970-3b66871c921d				<div>가족을 2년 동안 못 만났어요. 가족이 보<b>고 싶어요</b>.&nbsp;</div>		"<img src=""paste-5c9a2f2cd886beca6b82e9725fdbb218ca5aa81c.jpg"">[sound:8-1-115-2.mp3]"			8-1-115-2	Beginner
dfccd0e0-2cb3-11ed-a970-3b66871c921d				<div>딸기를 먹<b>고 싶어요</b>.</div><div></div>		"<img src=""paste-5e2607e098195df9d515a0d4156bda9b40480116.jpg"">[sound:8-1-115-3.mp3]"			8-1-115-3	Beginner
dfccf85e-2cb3-11ed-a970-3b66871c921d				<div>차가 있<b>었으면 좋겠어요.</b></div><div></div>		"<img src=""paste-138e35a96c34f57e171412efef78716da16c4b90.jpg"">[sound:8-2-117-1.mp3]"			8-2-117-1	Beginner
dfcd25e0-2cb3-11ed-a970-3b66871c921d				<div>돈이 많<b>았으면 좋겠어요</b>.</div>		"<img src=""paste-5788bb2c80da9aa4f80ad49d5ec7dc0b872302a3.jpg"">[sound:8-2-117-2.mp3]"			8-2-117-2	Beginner
dfcd4e4e-2cb3-11ed-a970-3b66871c921d				<div>크리스마스에 눈이 <b>왔으면 좋겠어요.</b></div>		"<img src=""paste-9af3973c2dafba6fb34981579fafb6962488b28b.jpg"">[sound:8-2-117-3.mp3]"			8-2-117-3	Beginner Retired
dfcd74d2-2cb3-11ed-a970-3b66871c921d				<div>만나<b>서</b> 반갑습니다.</div>		"<img src=""paste-f9763cdcf3ecb844a07f261fa65417603dab56f9.jpg"">[sound:9-1-119-1.mp3]"			9-1-119-1	Beginner
dfcd9cbe-2cb3-11ed-a970-3b66871c921d				<div>기분이 <b>좋아서</b> 춤을 췄어요.&nbsp;</div>		"<img src=""paste-9a3820359aaa7f6d2d851b74464e8bbdccf02d32.jpg"">[sound:9-1-119-2.mp3]"			9-1-119-2	Beginner
dfcdc45a-2cb3-11ed-a970-3b66871c921d				<div><b>늦어서</b> 죄송합니다.</div>		"<img src=""paste-b02e938f9c2ce8956ed11895a3a398606c6fe5ae.jpg"">[sound:9-1-119-3.mp3]"			9-1-119-3	Beginner
dfcdeb9c-2cb3-11ed-a970-3b66871c921d				<div>길이 <b>막히니까</b> 지하철을 탑시다.&nbsp;</div>		"<img src=""paste-2c91ae0025c5c2fde586f42504511069983e23c1.jpg"">[sound:9-2-121-1.mp3]"			9-2-121-1	Beginner Retired
dfce137e-2cb3-11ed-a970-3b66871c921d				<div><b>추우니까</b> 창문 좀 닫아 주세요</div>		"<img src=""paste-1a382ee41ddda8fef0ca74e0c0560794703c40de.jpg"">[sound:9-2-121-2.mp3]"			9-2-121-2	Beginner
dfce3e94-2cb3-11ed-a970-3b66871c921d				<div>샤워를 <b>하니까</b> 기분이 좋아요.&nbsp;</div>		"<img src=""paste-93eaf8c9ae33ca14f41e8e1669ce8ee871e2739b.jpg"">[sound:9-2-121-3.mp3]"			9-2-121-3	Beginner
dfce66c6-2cb3-11ed-a970-3b66871c921d				<div>눈 <b>때문에</b> 길이 미끄러워요.&nbsp;</div>		"<img src=""paste-1bb56d5a6b97980749d1fc77b800aa9cbce56c4e.jpg"">[sound:9-3-123-1.mp3]"			9-3-123-1	Beginner
dfce8e62-2cb3-11ed-a970-3b66871c921d				<div>아이 <b>때문에</b> 피곤해요.&nbsp;</div>		"<img src=""paste-59afa55108efc46e0bcd0614175b73cfcd3ee9c3.jpg"">[sound:9-3-123-2.mp3]"			9-3-123-2	Beginner
dfcebbb2-2cb3-11ed-a970-3b66871c921d				<div>외국인이<b>기 때문에</b> 한국말을 잘 못해요.&nbsp;</div>		"<img src=""paste-cc0d22a562bdaa347429924c6d9fd3bcde9dc588.jpg"">[sound:9-3-123-3.mp3]"			9-3-123-3	Beginner
dfcee420-2cb3-11ed-a970-3b66871c921d				<div>문 좀 <b>닫아 주세요</b>.&nbsp;</div>		"<img src=""paste-4305c17d62ac7513cf46cb3abdee3a019bd6c777.jpg"">[sound:10-1-125-1.mp3]"			10-1-125-1	Beginner
dfcf0d92-2cb3-11ed-a970-3b66871c921d				<div>사진 좀 <b>찍어 주시겠어요</b>?&nbsp;</div>		"<img src=""paste-73cc7f78f955cd3c78a902f7dd802bf30c89857b.jpg"">[sound:10-1-125-2.mp3]"			10-1-125-2	Beginner
dfcf3448-2cb3-11ed-a970-3b66871c921d				<div>자리를 <b>안내해 드리세요</b>.&nbsp;</div>		"<img src=""paste-7a97593bbf1a14f6a1bb402a728a45b6550ca30b.jpg"">[sound:10-1-125-3.mp3]"			10-1-125-3	Beginner
dfcf5a86-2cb3-11ed-a970-3b66871c921d				<div>우산이 두 개 있는데 <b>빌려 줄까요</b>?&nbsp;</div>		"<img src=""paste-3b204d560cf5932f5f18d1e2cb9c579f85aa310b.jpg"">[sound:10-2-127-1.mp3]"			10-2-127-1	Beginner
dfcf8128-2cb3-11ed-a970-3b66871c921d				<div>제가 <b>도와 드릴게요</b>.</div>		"<img src=""paste-65db0ffbda25a90596b0c3e74fe21a71e82903be.jpg"">[sound:10-2-127-2.mp3]"			10-2-127-2	Beginner Retired
dfcfafcc-2cb3-11ed-a970-3b66871c921d				<div>선생님, 제가 <b>들어 드릴까요</b>?</div>		"<img src=""paste-f600823c854ab53924df27db4dbb59c53e3b3ea1.jpg"">[sound:10-2-127-3.mp3]"			10-2-127-3	Beginner
dfcfda6a-2cb3-11ed-a970-3b66871c921d				<div>갈비를 <b>먹어 봤어요</b>?&nbsp;</div>		"<img src=""paste-15b9dc3de6f09cff8afa513f45d23764e5a4ff9a.jpg"">[sound:11-1-129-1.mp3]"			11-1-129-1	Beginner
dfd000d0-2cb3-11ed-a970-3b66871c921d				<div>한번 <b>입어 보세요.</b></div><div></div>		"<img src=""paste-4d5792277c200268d7839c2b9f14d7ad40962df7.jpg"">[sound:11-1-129-2.mp3]"			11-1-129-2	Beginner Retired
dfd02736-2cb3-11ed-a970-3b66871c921d				<div>제주도에 <b>가 보</b>고 싶어요.&nbsp;</div>		"<img src=""paste-fa6966d087dd4ef8491903a542f5d664cb8b9b7c.jpg"">[sound:11-1-129-3.mp3]"			11-1-129-3	Beginner Retired
dfd05f3a-2cb3-11ed-a970-3b66871c921d				<div>인도 영화를 <b>본 적이 있어요</b>.&nbsp;</div>		"<img src=""paste-e5be500b3d2a2c5be33aa8e03f2a276fc6f815d3.jpg"">[sound:11-2-131-1.mp3]"			11-2-131-1	Beginner
dfd09a36-2cb3-11ed-a970-3b66871c921d				<div>회사에 지각<b>한 적이 없어요</b>.</div>		"<img src=""paste-caed5570e0d2e39fcc9075f7378f5491227b843e.jpg"">[sound:11-2-131-2.mp3]"			11-2-131-2	Beginner Retired
dfd0c47a-2cb3-11ed-a970-3b66871c921d				<div>이탈리아에 <b>가 본 적이 있어요</b>?&nbsp;</div>		"<img src=""paste-d240cbbb3043ef87ecb3f7112a3a43f59221159c.jpg"">[sound:11-2-131-3.mp3]"			11-2-131-3	Beginner
dfd0ee64-2cb3-11ed-a970-3b66871c921d				<div>같이 <b>농구할까요</b>?&nbsp;</div>		"<img src=""paste-2d8b49cdb827b3bbacc983adfd3732212d4c8ebe.jpg"">[sound:12-1-133-1.mp3]"			12-1-133-1	Beginner Retired
dfd11538-2cb3-11ed-a970-3b66871c921d				<div>여기에서 좀 <b>쉴까요</b>?&nbsp;</div>		"<img src=""paste-a269cc52f56eb9d0941434a8cb3d3fd03c7bd4b7.jpg"">[sound:12-1-133-2.mp3]"			12-1-133-2	Beginner Retired
dfd13b9e-2cb3-11ed-a970-3b66871c921d				<div>무슨 영화를 <b>볼까요</b>?&nbsp;</div>		"<img src=""paste-c5ad3d2da0869d3a823c30fd9c683db89706bc21.jpg"">[sound:12-1-133-3.mp3]"			12-1-133-3	Beginner
dfd16376-2cb3-11ed-a970-3b66871c921d				<div>창문을 <b>열까요</b>?&nbsp;</div>		"<img src=""paste-a577366a4c0b6d846c73ed787eb380820121ef43.jpg"">[sound:12-2-135-1.mp3]"			12-2-135-1	Beginner
dfd18c98-2cb3-11ed-a970-3b66871c921d				<div>내일 무엇을 <b>입을까요</b>?&nbsp;</div>		"<img src=""paste-da11231837b797263a40aa94b0b155d9e8861da3.jpg"">[sound:12-2-135-2.mp3]"			12-2-135-2	Beginner
dfd1b4ca-2cb3-11ed-a970-3b66871c921d				<div>커피를 <b>드릴까요</b>, 주스를 <b>드릴까요</b>?&nbsp;</div>		"<img src=""paste-76f578170890eafd4504fd7f2f26d221d4ae133d.jpg"">[sound:12-2-135-3.mp3]"			12-2-135-3	Beginner
dfd1dc16-2cb3-11ed-a970-3b66871c921d				<div>한식을 <b>먹읍시다</b>.&nbsp;</div>		"<img src=""paste-a3f9fd6f356c840d6433dea3883f24e5285d99f8.jpg"">[sound:12-3-137-1.mp3]"			12-3-137-1	Beginner
dfd20358-2cb3-11ed-a970-3b66871c921d				<div>버스를 타지 마요. 지하철을 <b>탑시다.</b></div>		"<img src=""paste-ec5f5f12238c967a95e414678cc5e24877c8b418.jpg"">[sound:12-3-137-2.mp3]"			12-3-137-2	Beginner
dfd22f72-2cb3-11ed-a970-3b66871c921d				<div>영화를 보<b>지 맙시다</b>.&nbsp;</div>		"<img src=""paste-f0a49a3e8da725461285892fd54a72dd975d2364.jpg"">[sound:12-3-137-3.mp3]"			12-3-137-3	Beginner Retired
dfd26758-2cb3-11ed-a970-3b66871c921d				<div>도넛 좀 <b>드시겠어요</b>?&nbsp;</div>		"<img src=""abfd7930-1a07-4822-9034-950a6382a1c0.png"">[sound:12-4-139-1.mp3]"			12-4-139-1	Beginner
dfd296ba-2cb3-11ed-a970-3b66871c921d				<div>방을 <b>예약하시겠어요</b>?&nbsp;</div>		"<img src=""580059c9-bd31-4867-a884-c5745999e4e5.png"">[sound:12-4-139-2.mp3]"			12-4-139-2	Beginner
dfd2beec-2cb3-11ed-a970-3b66871c921d				<div>커피에 설탕을 <b>넣으시겠어요</b>?</div>		"<img src=""02ac1404-02b0-483b-985a-60484a641477.png"">[sound:12-4-139-3.mp3]"			12-4-139-3	Beginner
dfd2e5de-2cb3-11ed-a970-3b66871c921d				<div>등산 같이 <b>갈래요</b>?&nbsp;</div>		"<img src=""ceb66ef6-4171-4f1e-bebd-e86380158f50.png"">[sound:12-5-141-1.mp3]"			12-5-141-1	Beginner
dfd30d52-2cb3-11ed-a970-3b66871c921d				<div>커피 한 잔 <b>하실래요</b>?&nbsp;</div>		"<img src=""paste-ff4c5747651e0efff55547f4e84122543791ab0c.jpg"">[sound:12-5-141-2.mp3]"			12-5-141-2	Beginner
dfd3344e-2cb3-11ed-a970-3b66871c921d				<div>한강에서 배를 타<b>지 않을래요</b>?</div>		"<img src=""paste-91882ddc5860b921690895489cc3558db9eb3de9.jpg"">[sound:12-5-141-3.mp3]"			12-5-141-3	Beginner
dfd361c6-2cb3-11ed-a970-3b66871c921d				<div>올해에는 담배를 꼭 <b>끊겠습니다</b>.&nbsp;</div>		"<img src=""paste-a626163d62d7d14f64c85b122b630343680bf78e.jpg"">[sound:13-1-143-1.mp3]"			13-1-143-1	Beginner
dfd38e76-2cb3-11ed-a970-3b66871c921d				<div>제가 출장을 <b>가겠습니다</b>.&nbsp;</div>		"<img src=""paste-0037ede9b5eebc3cdaf6ad49c16b01f2d4f1233a.jpg"">[sound:13-1-143-2.mp3]"			13-1-143-2	Beginner
dfd3b5b8-2cb3-11ed-a970-3b66871c921d				<div>잠시 후에 인천공항에 <b>도착하겠습니다</b>.&nbsp;</div>		"<img src=""paste-e9bf241784105af57bdb159d7f61d0024c2a722f.jpg"">[sound:13-1-143-3.mp3]"			13-1-143-3	Beginner Retired
dfd3dd40-2cb3-11ed-a970-3b66871c921d				<div>제가 전화 <b>받을게요</b>.&nbsp;</div>		"<img src=""paste-288470b87cb016bf756ef273586d63fd9c35b6ba.jpg"">[sound:13-2-145-1.mp3]"			13-2-145-1	Beginner Retired
dfd40518-2cb3-11ed-a970-3b66871c921d				<div>죄송합니다. 일이 있어서 먼저 <b>갈게요.</b></div><div></div>		"<img src=""paste-d879bb69e501008b700c41201a4244c34c7ade8e.jpg"">[sound:13-2-145-2.mp3]"			13-2-145-2	Beginner
